City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6,-73.97,77.65,86,47,4.7,scattered clouds
1,Yulara,AU,-25.24,130.99,67.57,26,0,13.67,clear sky
2,Port Elizabeth,ZA,-33.92,25.57,54.32,97,75,12.66,moderate rain
3,Paita,PE,-5.09,-81.11,62.8,86,71,12.37,broken clouds
4,Poltavka,RU,54.37,71.76,60.62,93,100,7.47,moderate rain
5,Vaini,TO,-21.2,-175.2,78.96,83,20,11.5,few clouds
6,Dikson,RU,73.51,80.55,46.9,68,100,11.83,overcast clouds
7,Mataura,NZ,-46.19,168.86,46.47,73,90,2.77,overcast clouds
8,Vila Velha,BR,-20.33,-40.29,68.95,94,0,3.44,clear sky
9,Goderich,CA,43.75,-81.72,73.9,94,99,6.91,overcast clouds
10,Ocean City,US,39.28,-74.57,78.98,81,4,5.01,clear sky
11,Balikpapan,ID,-1.27,116.83,82.47,75,51,4.41,broken clouds
12,Ushuaia,AR,-54.8,-68.3,38.86,81,75,5.75,broken clouds
13,Nikolskoye,RU,59.7,30.79,57.09,92,39,9.51,scattered clouds
14,Hobart,AU,-42.88,147.33,50.25,68,20,5.75,few clouds
15,Rikitea,PF,-23.12,-134.97,74.23,77,3,7.23,clear sky
16,Cairns,AU,-16.92,145.77,83.07,64,75,11.5,broken clouds
17,Praia,CV,14.92,-23.51,77.54,83,20,4.61,few clouds
18,Paamiut,GL,61.99,-49.67,44.13,98,100,3.24,overcast clouds
19,Esperance,AU,-33.87,121.9,60.91,66,100,14.12,overcast clouds
20,Port-Gentil,GA,-0.72,8.78,74.61,82,98,9.17,overcast clouds
21,Yellowknife,CA,62.46,-114.35,62.83,74,100,5.59,light rain
22,Porto Novo,BJ,6.5,2.6,72.5,84,35,5.5,scattered clouds
23,Luang Prabang,LA,19.89,102.13,82.36,78,75,2.3,broken clouds
24,Bluff,NZ,-46.6,168.33,47.8,68,100,9.44,overcast clouds
25,Berlevag,NO,70.86,29.09,55.06,83,100,4.68,light rain
26,Nago,JP,26.59,127.98,87.78,75,62,12.77,broken clouds
27,Davila,PH,18.47,120.58,86.88,73,5,5.88,clear sky
28,Stolac,BA,43.08,17.96,65.98,46,0,6.91,clear sky
29,Bredasdorp,ZA,-34.53,20.04,45.28,87,12,1.97,few clouds
30,Beatrice,US,40.27,-96.75,81.45,69,0,3.44,clear sky
31,Broome,US,42.25,-75.83,75.67,86,62,2.66,broken clouds
32,Pevek,RU,69.7,170.31,32.34,98,100,13.18,overcast clouds
33,High Level,CA,58.52,-117.14,64.51,77,75,9.22,light rain
34,Norman Wells,CA,65.28,-126.83,75.24,31,40,8.05,scattered clouds
35,Punta Arenas,CL,-53.15,-70.92,35.71,80,75,44.87,light rain
36,Guiyang,CN,26.58,106.72,66.69,100,100,4.47,shower rain
37,Amberley,US,39.2,-84.43,80.15,76,36,1.01,scattered clouds
38,Hermanus,ZA,-34.42,19.23,51.28,77,21,5.3,few clouds
